id_fundo_imobiliario,cnpj,fundo,ticker,visivel,data_informacao,total_cotistas,valor_patrimonio_liquido,dividend_yield_mes,rent_efetiva_mensal,ano_mes_x,data_ultimo_preco,preco_fechamento,volume_negociado,ano_mes_y
123,17156502000109,POLO CREDITO IMOBILIARIO – FUNDO DE INVESTIMENTO IMOBILIARIO,PORD11,True,2023-03-01,23711.0,365784229.24,0.010202,0.01109,2023-03-01,2023-04-27,82.62,7051.0,2023-04-01
218,32006821000121,FII ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,ARRI11,True,2023-03-01,22862.0,116056909.5,0.012363,0.011445,2023-03-01,2023-04-27,8.23,20412.0,2023-04-01
395,42479593000160,ITAÚ ASSET RURAL FIAGRO - IMOBILIÁRIO,RURA11,True,2023-03-01,20927.0,982155461.43,0.00896,0.010756,2023-03-01,2023-04-27,10.18,71457.0,2023-04-01
337,41076607000132,TERRAS AGRICOLAS FII,BTRA11,True,2023-03-31,20743.0,395035705.62,0.015672,0.020868,2023-03-01,2023-04-27,76.85,7722.0,2023-04-01
350,41269052000145,GAME11 FII,GAME11,True,2023-03-31,19820.0,216244512.99,0.001,0.01210626,2023-03-01,2023-04-27,8.4,8895.0,2023-04-01
60,17329029000114,RIO BRAVO FUNDO - FII,FIXX11,True,2023-03-01,19702.0,229918432.37,0.007914,-0.001628,2023-03-01,,,,
89,17324357000128,FII BRASIL PLURAL ABSOLUTO FUNDOS DE FUNDOS,BPFF11,True,2023-03-01,19249.0,317536370.2,0.008707,0.001373,2023-03-01,2023-04-27,62.52,9065.0,2023-04-01
320,36642293000158,AF INVEST CRI FII,AFHI11,True,2023-03-31,19089.0,286647451.34,0.011643,0.013716,2023-03-01,2023-04-27,92.3,5686.0,2023-04-01
23,01201140000190,FUNDO DE INVESTIMENTO GRAND PLAZA SHOPPING,ABCP11,True,2023-03-01,18769.0,431824676.47,0.005457,0.006231,2023-03-01,2023-04-27,68.2,1931.0,2023-04-01
301,36368869000130,BLUEMACAW RENDA+ FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,BLMR11,True,2023-03-01,18383.0,186145692.53,0.008681,-0.018025,2023-03-01,2023-04-27,6.38,85821.0,2023-04-01
882,43741189000186,XP CRÉDITO AGRO - FI NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS,,,2023-03-01,17094.0,811596204.42,0.014506,0.015629,2023-03-01,,,,
231,34197727000122,MORE FOF FII,MORE11,True,2023-03-31,17066.0,181334114.85,0.006028,-0.021462,2023-03-01,2023-04-27,60.53,4434.0,2023-04-01
154,29787928000140,FII BTGP CRED IMOBIL,BTCR11,True,2022-10-31,16934.0,458252683.73,0.008199,0.0146,2022-10-01,2023-04-27,88.0,0.0,2023-04-01
4,14217108000145,FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL DO BRASIL,FIIB11,True,2023-03-01,16934.0,315573944.93,0.007058,0.007515,2023-03-01,2023-04-27,461.0,350.0,2023-04-01
100,04141645000103,FUNDO DE INV. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,FLMA11,True,2023-03-01,16519.0,221802276.65,0.0053,0.007081,2023-03-01,2023-04-27,122.39,829.0,2023-04-01
32,16915840000114,SANTANDER AGÊNCIAS FUNDO DE INVESTIMENTOS IMOBILIÁRIO - FII,SAAG11,True,2020-03-01,16251.0,627916463.29,0.008345,0.008857,2020-03-01,2023-04-27,106.61,0.0,2023-04-01
54,17590518000125,GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVEST IMOB,FIGS11,True,2023-03-01,15291.0,217510611.45,0.005111,0.005198,2023-03-01,2023-04-27,48.58,4097.0,2023-04-01
213,32400250000105,VECTIS JUROS REAL FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII,VCJR11,True,2023-03-01,15140.0,1403427545.21,0.012654,0.017774,2023-03-01,2023-04-27,86.02,17730.0,2023-04-01
329,36445587000190,VINCI IMOVEIS URBANOS FUNDO DE INVESTIMENTO IMOBILIARIO,VIUR11,True,2023-03-01,14999.0,246170038.89,0.007854,0.004378,2023-03-01,2023-04-27,7.2,56534.0,2023-04-01
220,34598181000111,LOGCP INTER FII,LGCP11,True,2023-03-31,14762.0,280890961.7,0.0058384,0.00598357,2023-03-01,2023-04-27,74.5,1645.0,2023-04-01
156,30130708000128,KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,KNHY11,True,2023-03-01,14404.0,1850693423.05,0.013138,0.024614,2023-03-01,2023-04-27,98.65,22696.0,2023-04-01
55,20216935000117,BRADESCO CARTEIRA IMOBILIARIA ATIVA FII,BCIA11,True,2023-03-31,14171.0,357768939.49,0.008048,0.0006703,2023-03-01,2023-04-27,85.04,1651.0,2023-04-01
419,42537579000176,CAPITANIA FIAGRO,CPTR11,True,2023-03-31,14109.0,409611194.11,0.015211,0.018413,2023-03-01,2023-04-27,94.4,13340.0,2023-04-01
211,32527683000126,PLURAL RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,PLCR11,True,2023-03-31,14047.0,193366697.49,0.011027,0.021971,2023-03-01,2023-04-27,82.32,5593.0,2023-04-01
165,30091444000140,FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII,KFOF11,True,2023-03-01,13320.0,392197524.8,0.008243,-0.001329,2023-03-01,2023-04-27,77.17,13565.0,2023-04-01
313,38658984000175,FII CAIXA IMÓVEIS CORPORATIVOS,CXCO11,True,2023-03-31,13297.0,390218232.54,0.00743335,0.00777674,2023-03-01,2023-04-27,68.79,3434.0,2023-04-01
859,40265671000107,KIJANI FIAGRO,,,2023-03-31,12749.0,558089836.52,0.0013,0.00301006,2023-03-01,,,,
31,13873457000152,FUNDO DE INVESTIMENTO IMOBILIÁRIO RB RENDA EDUCACIONAL,AEFI11,True,2023-03-01,12744.0,339694947.2,0.008733,0.008459,2023-03-01,,,,
268,35765826000126,AUTONOMY EDIFÍCIOS CORPORATIVOS FII,AIEC11,True,2023-03-31,12545.0,454733464.25,0.00797163,0.00969263,2023-03-01,2023-04-27,60.39,2466.0,2023-04-01
278,34081637000171,BLUEMACAW LOGÍSTICA FUNDO INVESTIMENTO,BLMG11,True,2023-03-31,12481.0,352908327.64,0.00824613,-0.0126572,2023-03-01,2023-04-27,62.45,5510.0,2023-04-01
396,42888360000111,FIAGRO DEVANT,DCRA11,True,2023-03-31,12357.0,64824372.42,0.01253684,0.01751281,2023-03-01,2023-04-27,8.75,10411.0,2023-04-01
872,44614833000118,VINCI CRÉDITO AGRO FIAGRO-IMOBILIÁRIO,,,2023-03-01,12230.0,374291062.68,0.0,0.002227,2023-03-01,,,,
